date,interviewer,interviewee_position,research_q,q_field,interview_turn,data,speaker,Code,LTP,Activity,Value_activity,Bias_activity,Q8_aware,Evidence,Value_evid,Constraining_factors,Enabling_factors,Outcomes,NGO_network,Gvt_network,Code_notes
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",11,I was the ,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",12,I have a c,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",13,from the u,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",14,Thank you ,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",15,Can you st,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",16,Yeah now t,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leadership/strategy
Policy",NA,NA,Other,Early Learning Policies and Support to and from the Ministry of Education
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",17,So that is,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",18,Can you de,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",19,[Network b,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",20,One succes,respondent,NA,NA,NA,NA,NA,NA,Transferability,NA,NA,"Curriculum/documents
Funding/infrastructural
Leadership/strategy
Implementation
Other",NA,NA,NA,"Other = trained teachers, ""increased visibility"" & community awareness 
Other = enrollment rate increased
International transferability"
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",21,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",22,Challenges,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",23,[One netwo,respondent,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,Other = unqualified caregivers
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",24,the prospe,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Funding/Infrastructural
Leadership/strategy",Funding/Infrastructural,NA,Other,Funding for infrastructure with the new government
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",25,Aaah defin,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,Other = community's will
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",26,That has b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3. What does Learning through Play look like to you?,27,What does ,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3. What does Learning through Play look like to you?,28,The good p,respondent,NA,Cognitive / learning,NA,NA,NA,NA,Early learning,Valuable,NA,NA,NA,NA,NA,LTP for early brain development
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,29,3a,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,30,What has c,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,31,"okay, so i",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,32,It comes f,respondent,NA,Other,NA,NA,NA,NA,Indivual experience,NA,NA,NA,NA,NA,NA,"Parents role in promoting early intervention
Other = stimulation to children w/ disabilities with LTP
Individual exp. 20+ of experience and PhD studies in psychology"
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,33,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,LTP understanding,NA,NA,NA,Stakeholders not specified
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,34,Thank you ,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"3b. How have you observed Learning through Play in the field, the Zambian schooling system, or abroad?",35,3b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"3b. How have you observed Learning through Play in the field, the Zambian schooling system, or abroad?",36,How have y,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"3b. How have you observed Learning through Play in the field, the Zambian schooling system, or abroad?",37,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,38,What do yo,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,39,The pros a,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,40,Yes,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,41,I think le,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,42,One of the,respondent,NA,"Holistic learning
Cognitive / learning",NA,NA,NA,NA,Early learning,Valuable,NA,NA,NA,NA,NA,"Holisitc learning = empathy and socialization
Cognitive / learning = association through memory"
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,43,The only c,respondent,NA,Dangers to LTP,NA,NA,NA,NA,Indivual experience,NA,Implementation,NA,NA,NA,NA,Contextualizing play for local children
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,44,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,45,And Second,respondent,NA,Child centered / agency,NA,NA,NA,NA,NA,NA,Implementation,NA,NA,NA,NA,Confined to classroom play
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,46,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,47,Things whi,respondent,NA,Hands on / interactive,NA,NA,NA,NA,Early learning,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,48,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,49,Oooh okay,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,50,Any other ,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,51,Aaah I thi,respondent,NA,Dangers to LTP,NA,NA,NA,NA,Indivual experience,NA,Other,NA,NA,NA,NA,Innovation is a challenge to some teachers
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,52,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,53,They can’t,respondent,NA,Dangers to LTP,NA,NA,NA,NA,Indivual experience,NA,Implementation,NA,NA,NA,NA,Repetitive activities and teacher's fatigue
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4a. Why do you think this is a pro or a con? How do you know?,54,4a,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4a. Why do you think this is a pro or a con? How do you know?,55,Why do you,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4a. Why do you think this is a pro or a con? How do you know?,56,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4b. What information or research has formed your views?,57,4b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4b. What information or research has formed your views?,58,What infor,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4b. What information or research has formed your views?,59,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4c. What kind of information or research do you think you would need to have a more informed opinion about Learning through Play?,60,4c,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4c. What kind of information or research do you think you would need to have a more informed opinion about Learning through Play?,61,What kind ,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4c. What kind of information or research do you think you would need to have a more informed opinion about Learning through Play?,62,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,63,What do ea,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,64,Aaah yeah ,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curriculum/documents,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,65,Aaah teach,respondent,NA,NA,NA,NA,NA,NA,Transferability,NA,NA,LTP understanding,NA,NA,Other,Teachers and mothers trained in LTP
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,66,Okay thank,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,67,Any other ,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,68,There is a,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leadership/strategy
Curriculum/documents",NA,Other,Other,Stakeholder's collaboration
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,69,I think th,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leadership/strategy,NA,NA,Other,Leadership from the government in program evaluation
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,70,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5a. What actions have you taken and what more may be needed in the future?,71,5a,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5a. What actions have you taken and what more may be needed in the future?,72,What actio,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5a. What actions have you taken and what more may be needed in the future?,73,Not asked,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5b. What current or future guidelines or frameworks would help implement early childhood Learning through Play?,74,5b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5b. What current or future guidelines or frameworks would help implement early childhood Learning through Play?,75,What curre,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5b. What current or future guidelines or frameworks would help implement early childhood Learning through Play?,76,Not asked,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,77,How have c,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,78,From the g,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,79,Yes from y,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,80,Yaah like ,respondent,NA,NA,Project Coordinating Committee (has subcommittees),Valuable,Open response,NA,NA,NA,NA,NA,Leadership/strategy,PCC (Proj Coord Comm),NA,Unified approach/strategy with stakeholders to an enhanced methodology
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,81,Yeah.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,82,Okay thank,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,83,And have t,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,84,Yes we hav,respondent,NA,NA,Curriculum/doc review,NA,Open response,NA,NA,NA,NA,NA,Curriculum/documents,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,85,Maybe like,respondent,NA,NA,Other,NA,Open response,NA,NA,NA,NA,NA,Other,UNICEF,NA,Advocacy for LTP prominence
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,86,"Okay, than",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6a. What cooperating partners do you work with regularly?,87,6a,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6a. What cooperating partners do you work with regularly?,88,What coope,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6a. What cooperating partners do you work with regularly?,89,Not asked,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6b. What do you do with them?,90,6b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6b. What do you do with them?,91,What do yo,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6b. What do you do with them?,92,Not asked,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,"7. Considering all government engagements with cooperating partners, what activities are the most influential to you and your colleagues in building your knowledge or support for Learning through Play and ECE? Why? What activities are least influential to you and your colleagues? Why?",93,Considerin,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,"7. Considering all government engagements with cooperating partners, what activities are the most influential to you and your colleagues in building your knowledge or support for Learning through Play and ECE? Why? What activities are least influential to you and your colleagues? Why?",94,You can al,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,"7. Considering all government engagements with cooperating partners, what activities are the most influential to you and your colleagues in building your knowledge or support for Learning through Play and ECE? Why? What activities are least influential to you and your colleagues? Why?",95,Uuum I thi,respondent,NA,Other,Other,NA,Open response,NA,NA,NA,NA,NA,NA,NA,NA,LTP as a behavioral change
