date,interviewer,interviewee_position,research_q,q_field,interview_turn,data,speaker,Code,LTP,Activity,Value_activity,Bias_activity,Q8_aware,Evidence,Value_evid,Constraining_factors,Enabling_factors,Outcomes,NGO_network,Gvt_network,Code_notes
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",16,"Yeah now that I am with the ministry of education, ok my focus is area is on early learning and care and how to come up with better policies for learners and how to improve their learning areas, how to support the parents of children who are eligible to go to school and advise the government on the policies which would benefit the child, the teachers, administrators and colleges of education",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leadership/strategy
Policy",NA,NA,Other,Early Learning Policies and Support to and from the Ministry of Education
12_april_2024,Mwamba,Early learning care specialist.,NA,"1. Can you start by telling me what your primary responsibilities are in the education system? (This could include any role in a number of processes such as policy making, implementation, strategic planning, coordination, etc. )",17,So that is my role now,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",18,"Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",19,[Network breaking] Yeah so let me be some where I can be safe so the question was about the successes ok,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",20,"One success we have a standardized curriculum, two we have teachers who can train from certificate to Ph.D. in EDE, three teachers are employed by the government, four there is infrastructure that is coming around, five there is a directory that is around, six we have developed a lot of materials and including the framework, seven we have increased visibility, eight we have increased the enrollment rate now I know there maybe 2million learners in school, nine the community is aware of the importance of ECE, ten we have organized international and local conferences sharing of knowledge and ideas about ECE, eleven then we have cemented the relationship between stake holders with in Zambia and outside.",respondent,NA,NA,NA,NA,NA,NA,Transferability,NA,NA,"Curriculum/documents
Funding/infrastructural
Leadership/strategy
Implementation
Other",NA,NA,NA,"Other = trained teachers, ""increased visibility"" & community awareness 
Other = enrollment rate increased
International transferability"
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",21,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",22,Challenges,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",23,[One network break off] we are still using a lot of unqualified care givers to mend most of the centers aaah I think those are the key areas,respondent,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,NA,Other = unqualified caregivers
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",24,"the prospect of ECE is very bright so far the government has got a grant of 19.01million US dollars to increase access to construct more than 440 centers in the most disadvantaged districts. The government is also constructing CDC centers every year aaah since the new government came in 20 ECE centers have been built so there is that direction of moving from annex to ECE centers to stand alone ECE centers and these centers are coming in with a full packages electricity, water, it comes with a play park, furniture, appropriate for children",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Funding/Infrastructural
Leadership/strategy",Funding/Infrastructural,NA,Other,Funding for infrastructure with the new government
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",25,"Aaah definitely there is also a good will from the stake holders from the community, so I think the future looks bright for ECE.",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,NA,NA,Other = community's will
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"2. Can you describe what you see as the successes and challenges for ECE in Zambia, and what might be on the future horizon in developing ECE?",26,That has been a good picture from Zambia,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3. What does Learning through Play look like to you?,27,What does Learning through Play look like to you?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3. What does Learning through Play look like to you?,28,"The good part about learning through play is that aaah I think from the inception I have worked with them and not because I was part of the system but because I think the programming itself brings in what we as psychologist believes in early stimulation of a child, curiosity as a child, brain development at an early age so learning through play to me I think sometimes don’t call it a program but I call it a product which is very important to the development of a child and mainly when we also push it as [network break] it is a product that deals with the early stimulation of the child brain and that is what every child needs me I think it came at a time when we were losing out children whose brain has not reached the max-mum development because of not giving the child the needed materials, the needed conducive environment for the child’s brain to develop.",respondent,NA,Cognitive / learning,NA,NA,NA,NA,Early learning,Valuable,NA,NA,NA,NA,NA,LTP for early brain development
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,29,3a,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,30,What has contributed to or helped form your current image of Learning through Play?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,31,"okay, so in terms of your image of learning through play , the way you perceive it, does it come from observation, or from your professional background, from the circular things where you have studied from, what informs your picture of learning through play",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,32,"It comes from both sectors and my studies have went mostly also tried to stimulate children with disabilities using this learning through play and also the role of parents in promoting you know early intervason rehabilitation, but secondly I have worked as a principal education officer in the ministry of education.  We have worked together with different stake holders who are advocating for learning through play and to me I think it is a product that has rejuvenated what we needed most in a child.",respondent,NA,Other,NA,NA,NA,NA,Indivual experience,NA,NA,NA,NA,NA,NA,"Parents role in promoting early intervention
Other = stimulation to children w/ disabilities with LTP
Individual exp. 20+ of experience and PhD studies in psychology"
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,33,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,LTP understanding,NA,NA,NA,Stakeholders not specified
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,3a. What has contributed to or helped form your current image of Learning through Play?,34,Thank you so much.,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"3b. How have you observed Learning through Play in the field, the Zambian schooling system, or abroad?",35,3b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"3b. How have you observed Learning through Play in the field, the Zambian schooling system, or abroad?",36,"How have you observed Learning through Play in the field, the Zambian schooling system, or abroad?",interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,"3b. How have you observed Learning through Play in the field, the Zambian schooling system, or abroad?",37,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,38,What do you see as the pros and cons of a play-approach to instruction in ECE?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,39,The pros and cons of instruction in learning through play?,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,40,Yes,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,41,I think let me start with the cons or let me talk about the advantages;,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,42,"One of them of course, it makes children to get socialized, it makes the children to appreciate each other, it would make the children learn concept worth playing and that makes their memories becomes more in depth in terms of remembering because as they are able to associate with what they are playing with to what they may learn or do",respondent,NA,"Holistic learning
Cognitive / learning",NA,NA,NA,NA,Early learning,Valuable,NA,NA,NA,NA,NA,"Holisitc learning = empathy and socialization
Cognitive / learning = association through memory"
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,43,The only challenge which I have seen is that sometimes we are still grabbling to contextualizing the type of play Aaah most of the songs do not really hit the local child,respondent,NA,Dangers to LTP,NA,NA,NA,NA,Indivual experience,NA,Implementation,NA,NA,NA,NA,Contextualizing play for local children
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,44,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,45,"And Secondly we have defined it more from confining a child to a class room or space and it is more controlled, the teacher is always around to ensure that Yes the child may always say that there is more space around but I think he is more controlled compared to aaah you know broadening it E.g.    when I talk about learning through play we have not pushed in things like how do they playing with a guitar or how do they play with a key board ok",respondent,NA,Child centered / agency,NA,NA,NA,NA,NA,NA,Implementation,NA,NA,NA,NA,Confined to classroom play
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,46,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,47,"Things which will help the child as they are learning they are also having more serious lesson on survival skills aaah When there are more demonstrations they are cooking, the children are cooking, the children are (network break off) are seeing that is done in real life situations.",respondent,NA,Hands on / interactive,NA,NA,NA,NA,Early learning,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,48,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,49,Oooh okay,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,50,Any other cons?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,51,Aaah I think the other thing is that aaah you know when you are dealing with teachers. Some of the teachers I think innovation can become a problem,respondent,NA,Dangers to LTP,NA,NA,NA,NA,Indivual experience,NA,Other,NA,NA,NA,NA,Innovation is a challenge to some teachers
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,52,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4. What do you see as the pros and cons of a play-approach to instruction in ECE?,53,"They can’t really be innovative to make a child fine to the book and sometimes there is too much reputation of the same type of activities this comes in and another goes out so you find that the type of play, the type of activity they are almost the same so sometimes you might put a fatigue on a teacher and they may run out of ideas.",respondent,NA,Dangers to LTP,NA,NA,NA,NA,Indivual experience,NA,Implementation,NA,NA,NA,NA,Repetitive activities and teacher's fatigue
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4a. Why do you think this is a pro or a con? How do you know?,54,4a,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4a. Why do you think this is a pro or a con? How do you know?,55,Why do you think this is a pro or a con? How do you know?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4a. Why do you think this is a pro or a con? How do you know?,56,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4b. What information or research has formed your views?,57,4b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4b. What information or research has formed your views?,58,What information or research has formed your views?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4b. What information or research has formed your views?,59,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4c. What kind of information or research do you think you would need to have a more informed opinion about Learning through Play?,60,4c,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4c. What kind of information or research do you think you would need to have a more informed opinion about Learning through Play?,61,What kind of information or research do you think you would need to have a more informed opinion about Learning through Play?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,4c. What kind of information or research do you think you would need to have a more informed opinion about Learning through Play?,62,Not asked.,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,63,What do early childhood Learning through Play approaches need from your department in order to be implemented?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,64,Aaah yeah you know learning through play like we have said there are some materials which have been developed,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curriculum/documents,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,65,"Aaah teacher have been capacity built on how to use this approach learning through play, so, then colleges have been capacity built, so the holistic approach has been built to ensure that the child is not left behind and one of the areas we are also pocketing for was that mothers should also be developed, to be powered and also community members but as things stand now the learning through play has a lot of materials, there are a lot of teachers who are trained even if there tuition late but I think there is a ruminants of a lot of teacher who have been trained and the government has been using that model to spear head and increase the visibility in other areas.",respondent,NA,NA,NA,NA,NA,NA,Transferability,NA,NA,LTP understanding,NA,NA,Other,Teachers and mothers trained in LTP
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,66,Okay thank you so much,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,67,Any other ways which has been built in your project or department to support learning through play,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,68,"There is a lot of collaboration between the government and other stake holders, there was a lot of mappings that has been done, and there has been a lot of revision to ensure that maybe some of the materials are contextualized",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leadership/strategy
Curriculum/documents",NA,Other,Other,Stakeholder's collaboration
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,69,"I think there is isn’t weaken in isolation so to me I think government has been ensuring that even they have been evaluating the program. They are able to know that this can work, this can’t work or this needs modification.",respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leadership/strategy,NA,NA,Other,Leadership from the government in program evaluation
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5. What do early childhood Learning through Play approaches need from your department in order to be implemented?,70,NA,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5a. What actions have you taken and what more may be needed in the future?,71,5a,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5a. What actions have you taken and what more may be needed in the future?,72,What actions have you taken and what more may be needed in the future?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5a. What actions have you taken and what more may be needed in the future?,73,Not asked,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5b. What current or future guidelines or frameworks would help implement early childhood Learning through Play?,74,5b,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5b. What current or future guidelines or frameworks would help implement early childhood Learning through Play?,75,What current or future guidelines or frameworks would help implement early childhood Learning through Play?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,What are policymakers’ perceptions of ECCE and LtP pedagogy?,5b. What current or future guidelines or frameworks would help implement early childhood Learning through Play?,76,Not asked,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,77,How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,78,From the government side?,respondent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12_april_2024,Mwamba,Early learning care specialist.,How do government stakeholders perceive the effectiveness of PoP ECCE and LtP advocacy approaches and why?,6. How have cooperating partners (CPs) or implementing partners engaged you or your colleagues on the topic of Learning through Play?,79,Yes from your case since you double you can speak on all perspectives.,interviewer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
